alert,rule,severity,path,remediation,verification
230,js/insecure-randomness,high,ee/apps/den-api/evals/agent-test-evidence-password-policy.mjs,CSPRNG identifier,CodeQL rerun pending
229,js/incomplete-html-attribute-sanitization,medium,packages/openwork-bootstrap/evals/agent-test-evidence-openwork-bootstrap.mjs,Context-specific attribute encoding,CodeQL rerun pending
228,js/incomplete-html-attribute-sanitization,medium,packages/openwork-bootstrap/evals/agent-test-evidence-linux-container.mjs,Context-specific attribute encoding,CodeQL rerun pending
227,js/incomplete-html-attribute-sanitization,medium,packages/openwork-bootstrap/evals/agent-test-evidence-openwork-app-install.mjs,Context-specific attribute encoding,CodeQL rerun pending
226,js/incomplete-html-attribute-sanitization,medium,ee/apps/den-api/evals/agent-test-evidence-unverified-signup.mjs,Context-specific attribute encoding,CodeQL rerun pending
225,js/incomplete-html-attribute-sanitization,medium,ee/apps/den-api/evals/agent-test-evidence-password-policy.mjs,Context-specific attribute encoding,CodeQL rerun pending
224,js/bad-code-sanitization,medium,evals/specs/enterprise-invite-install-connect.e2e.test.ts,Structured CDP arguments replace generated code,CodeQL rerun pending
197,js/insufficient-password-hash,high,ee/apps/den-api/src/capability-sources/external-mcp-connections.ts,Explicit non-secret OAuth identity digest boundary,CodeQL rerun pending
158,js/xss-through-dom,high,ee/apps/den-web/app/(den)/_components/ui/brand-mark.tsx,Safe image URL and icon slug validation,CodeQL rerun pending
157,js/redos,high,packages/types/src/agent-context-diagnostics.ts,Linear path validation,CodeQL rerun pending
156,js/redos,high,apps/server/src/agent-context-diagnostics-schema.ts,Linear path validation,CodeQL rerun pending
154,js/polynomial-redos,high,scripts/mock-oauth-mcp-server.mjs,Deterministic Basic authorization parsing,CodeQL rerun pending
153,js/polynomial-redos,high,packages/types/src/url.ts,Linear slash trimming,CodeQL rerun pending
152,js/polynomial-redos,high,packages/install-config/src/index.ts,Deterministic filename parsing,CodeQL rerun pending
151,js/polynomial-redos,high,packages/install-config/src/index.ts,Linear slash trimming,CodeQL rerun pending
150,js/polynomial-redos,high,apps/server/src/server.ts,Linear folder normalization,CodeQL rerun pending
149,js/polynomial-redos,high,apps/server/src/connect-state.ts,Linear slash trimming,CodeQL rerun pending
148,js/stack-trace-exposure,medium,scripts/mock-oauth-mcp-server.mjs,Generic client error with local logging,CodeQL rerun pending
147,js/stack-trace-exposure,medium,packages/enterprise-mcp-client/test/enterprise-mcp-client.test.ts,Stable generic test-server errors,CodeQL rerun pending
144,js/stack-trace-exposure,medium,evals/drivers/office-attachments-mock-provider.mjs,Generic client error with local logging,CodeQL rerun pending
143,js/stack-trace-exposure,medium,apps/desktop/electron/ui-control-server.mjs,Generic public error with detailed local logging,CodeQL rerun pending
142,js/clear-text-storage-of-sensitive-data,high,ee/apps/den-web/app/(den)/dashboard/_components/plugin-import-draft.ts,Reject credential URLs and minimize persistence,CodeQL rerun pending
141,js/bad-tag-filter,high,ee/apps/den-api/src/capability-sources/google-workspace-api.ts,Bounded parser-based HTML extraction,CodeQL rerun pending
138,js/incomplete-multi-character-sanitization,high,ee/apps/den-api/test/organization-invite-email.test.ts,Parser-based text extraction,CodeQL rerun pending
137,js/incomplete-multi-character-sanitization,high,apps/server/src/opencode-plugins/openwork-office-attachments.ts,Bounded XML parsing with DTD rejection,CodeQL rerun pending
136,js/incomplete-multi-character-sanitization,high,apps/server/src/opencode-plugins/openwork-office-attachments.ts,Bounded XML parsing with DTD rejection,CodeQL rerun pending
135,js/incomplete-multi-character-sanitization,high,apps/app/tests/permission-approval-modal.test.ts,Parser-based button text extraction,CodeQL rerun pending
126,js/double-escaping,high,ee/apps/den-api/src/capability-sources/google-workspace-api.ts,Single-pass parser entity decoding,CodeQL rerun pending
125,js/double-escaping,high,apps/server/src/opencode-plugins/openwork-office-attachments.ts,Single-pass parser entity decoding,CodeQL rerun pending
124,js/double-escaping,high,apps/desktop/electron/linux-desktop-integration.mjs,Exact Desktop Entry escaping,CodeQL rerun pending
122,js/incomplete-sanitization,high,apps/server/src/extensions/google-workspace.ts,Escape backslashes before query apostrophes,CodeQL rerun pending
121,js/insufficient-password-hash,high,ee/apps/inference/src/keys.ts,Typed CSPRNG bearer-key digest boundary,CodeQL rerun pending
114,js/insufficient-password-hash,high,apps/server/src/cloud-mcp-health.ts,Remove exposed fingerprint and use process-local keyed revision,CodeQL rerun pending
113,js/reflected-xss,high,scripts/mock-oauth-mcp-server.mjs,CSP and safe form action,CodeQL rerun pending
112,js/incomplete-url-substring-sanitization,high,scripts/check-connect-installer-parity.mjs,Explicit source-literal assertion helper,CodeQL rerun pending
